EPA Region,State,County,Risk,Governance,Built Environment,Natural Environment,Society,CRSI
6,Texas,Donley,0.345,0.569,0.315,0.295,0.527,0.493
6,Texas,Duval,0.108,0.516,0.327,0.38,0.275,-1.273
6,Texas,Eastland,0.12,0.549,0.354,0.374,0.491,3.138
6,Texas,Ector,0.382,0.529,0.507,0.447,0.448,2.248
6,Texas,Edwards,0.118,0.492,0.205,0.341,0.385,-3.117
6,Texas,El Paso,0.417,0.566,0.709,0.367,0.443,2.941
6,Texas,Ellis,0.446,0.604,0.716,0.371,0.538,3.319
6,Texas,Erath,0.116,0.569,0.452,0.469,0.558,8.793
6,Texas,Falls,0.155,0.536,0.326,0.426,0.405,1.615
6,Texas,Fannin,0.115,0.589,0.452,0.428,0.501,7.214
6,Texas,Fayette,0.091,0.527,0.423,0.395,0.584,8.495
6,Texas,Fisher,0.174,0.638,0.183,0.382,0.475,-0.014
6,Texas,Floyd,0.238,0.597,0.212,0.553,0.552,2.554
6,Texas,Foard,0.096,0.559,0.249,0.364,0.308,-2.91
6,Texas,Fort Bend,0.411,0.597,0.785,0.42,0.58,4.527
6,Texas,Franklin,0.231,0.521,0.271,0.334,0.393,-0.707
6,Texas,Freestone,0.198,0.55,0.406,0.37,0.432,1.969
6,Texas,Frio,0.085,0.515,0.335,0.419,0.378,2.126
6,Texas,Gaines,0.135,0.564,0.294,0.37,0.487,1.595
6,Texas,Galveston,0.753,0.568,0.608,0.408,0.472,1.486
6,Texas,Garza,0.251,0.564,0.219,0.359,0.52,0.205
6,Texas,Gillespie,0.132,0.473,0.385,0.436,0.691,7.024
6,Texas,Glasscock,0.195,0.605,0.162,0.384,0.386,-1.333
6,Texas,Goliad,0.126,0.536,0.277,0.452,0.409,1.483
6,Texas,Gonzales,0.075,0.47,0.356,0.4,0.378,1.912
6,Texas,Gray,0.262,0.539,0.21,0.202,0.478,-1.782
6,Texas,Grayson,0.18,0.547,0.685,0.32,0.512,6.463
6,Texas,Gregg,0.613,0.534,0.396,0.283,0.561,0.633
6,Texas,Grimes,0.237,0.546,0.372,0.328,0.468,1.106
6,Texas,Guadalupe,0.253,0.523,0.557,0.331,0.476,2.994
6,Texas,Hale,0.252,0.583,0.317,0.563,0.496,3.128
6,Texas,Hall,0.235,0.583,0.126,0.408,0.484,-0.542
6,Texas,Hamilton,0.131,0.548,0.311,0.439,0.484,3.087
6,Texas,Hansford,0.262,0.621,0.34,0.299,0.45,0.56
6,Texas,Hardeman,0.108,0.53,0.235,0.335,0.453,-1.197
6,Texas,Hardin,0.357,0.512,0.365,0.403,0.546,1.534
6,Texas,Harris,0.758,0.563,0.837,0.192,0.491,1.624
6,Texas,Harrison,0.356,0.516,0.523,0.422,0.432,2.233
6,Texas,Hartley,0.233,0.63,0.319,0.289,0.44,0.235
6,Texas,Haskell,0.119,0.577,0.214,0.482,0.492,2.482
6,Texas,Hays,0.454,0.18,0.587,0.31,0.557,1.326
6,Texas,Hemphill,0.393,0.575,0.251,0.32,0.489,-0.023
6,Texas,Henderson,0.141,0.565,0.536,0.441,0.439,6.667
6,Texas,Hidalgo,0.485,0.555,0.731,0.767,0.39,4.439
6,Texas,Hill,0.136,0.572,0.47,0.436,0.459,5.862
6,Texas,Hockley,0.178,0.588,0.387,0.357,0.519,2.909
6,Texas,Hood,0.28,0.566,0.469,0.399,0.535,3.033
6,Texas,Hopkins,0.104,0.583,0.425,0.367,0.559,6.857
6,Texas,Houston,0.273,0.513,0.407,0.453,0.394,1.779
6,Texas,Howard,0.146,0.573,0.322,0.502,0.465,3.939
6,Texas,Hudspeth,0.08,0.585,0.316,0.438,0.256,0.096
6,Texas,Hunt,0.243,0.6,0.576,0.331,0.384,2.899
6,Texas,Hutchinson,0.264,0.563,0.318,0.271,0.486,0.12
6,Texas,Irion,0.24,0.619,0.245,0.475,0.433,1.208
6,Texas,Jack,0.132,0.541,0.297,0.348,0.423,0.153
6,Texas,Jackson,0.121,0.552,0.337,0.481,0.538,5.694
6,Texas,Jasper,0.371,0.483,0.431,0.465,0.463,1.845
6,Texas,Jeff Davis,0.143,0.109,0.292,0.439,0.318,-2.852
6,Texas,Jefferson,0.53,0.506,0.698,0.449,0.521,2.821
6,Texas,Jim Hogg,0.262,0.545,0.219,0.381,0.47,-0.04
6,Texas,Jim Wells,0.109,0.539,0.328,0.391,0.392,1.321
6,Texas,Johnson,0.359,0.559,0.595,0.434,0.515,3.405
6,Texas,Jones,0.116,0.563,0.266,0.468,0.52,3.825
6,Texas,Karnes,0.098,0.543,0.32,0.398,0.406,1.751
6,Texas,Kaufman,0.446,0.633,0.547,0.392,0.506,2.345
6,Texas,Kendall,0.144,0.42,0.432,0.423,0.678,6.559
6,Texas,Kenedy,0.117,0.61,0.304,0.447,0.273,0.496
6,Texas,Kent,0.308,0.668,0.214,0.395,0.27,-0.845
6,Texas,Kerr,0.098,0.404,0.487,0.412,0.55,8.145
6,Texas,Kimble,0.134,0.49,0.208,0.474,0.747,5.039
6,Texas,King,0.324,0.676,0.215,0.363,0.452,0.094
6,Texas,Kinney,0.097,0.574,0.315,0.416,0.225,-1.285
6,Texas,Kleberg,0.124,0.549,0.314,0.458,0.379,2.054
6,Texas,Knox,0.129,0.601,0.338,0.398,0.49,3.422
6,Texas,La Salle,0.09,0.494,0.176,0.333,0.292,-7.177
6,Texas,Lamar,0.169,0.538,0.481,0.439,0.511,5.341
6,Texas,Lamb,0.157,0.586,0.246,0.406,0.48,1.155
6,Texas,Lampasas,0.111,0.572,0.336,0.393,0.526,4.211
6,Texas,Lavaca,0.098,0.541,0.357,0.414,0.618,7.367
6,Texas,Lee,0.101,0.55,0.337,0.328,0.519,2.718
6,Texas,Leon,0.146,0.551,0.434,0.363,0.457,3.42
6,Texas,Liberty,0.316,0.539,0.508,0.428,0.467,2.731
6,Texas,Limestone,0.176,0.552,0.398,0.408,0.468,3.049
6,Texas,Lipscomb,0.334,0.749,0.332,0.371,0.375,0.85
6,Texas,Live Oak,0.094,0.558,0.384,0.458,0.547,8.289
6,Texas,Llano,0.101,0.516,0.381,0.396,0.482,4.49
6,Texas,Loving,0.092,0.805,0.223,0.411,0.308,0.14
6,Texas,Lubbock,0.492,0.576,0.599,0.437,0.495,2.477
6,Texas,Lynn,0.207,0.618,0.34,0.469,0.448,2.699
6,Texas,Madison,0.148,0.546,0.243,0.352,0.442,-0.501
6,Texas,Marion,0.249,0.523,0.256,0.447,0.341,-0.104
6,Texas,Martin,0.157,0.61,0.227,0.321,0.528,0.265
6,Texas,Mason,0.13,0.483,0.323,0.4,0.592,3.747
6,Texas,Matagorda,0.256,0.525,0.44,0.503,0.431,3.053
6,Texas,Maverick,0.143,0.572,0.446,0.419,0.269,2.215
6,Texas,McCulloch,0.098,0.504,0.275,0.456,0.414,1.728
6,Texas,McLennan,0.326,0.549,0.691,0.521,0.534,5.28
6,Texas,McMullen,0.11,0.628,0.213,0.347,0.233,-4.501
6,Texas,Medina,0.121,0.428,0.49,0.388,0.491,5.431
6,Texas,Menard,0.191,0.518,0.209,0.394,0.528,0.415
6,Texas,Midland,0.314,0.575,0.461,0.299,0.443,1.306
6,Texas,Milam,0.128,0.541,0.4,0.357,0.458,3.012
6,Texas,Mills,0.178,0.605,0.323,0.412,0.456,2.092
6,Texas,Mitchell,0.134,0.582,0.257,0.4,0.439,0.85
6,Texas,Montague,0.142,0.574,0.32,0.388,0.422,1.476
6,Texas,Montgomery,0.59,0.572,0.644,0.32,0.496,1.78
6,Texas,Moore,0.357,0.558,0.423,0.376,0.423,1.232
6,Texas,Morris,0.271,0.527,0.231,0.357,0.446,-0.386
6,Texas,Motley,0.245,0.649,0.187,0.354,0.412,-0.707
6,Texas,Nacogdoches,0.157,0.514,0.425,0.424,0.413,3.174
6,Texas,Navarro,0.324,0.589,0.498,0.364,0.434,2.05
6,Texas,Newton,0.272,0.476,0.262,0.415,0.357,-0.381
6,Texas,Nolan,0.152,0.553,0.407,0.344,0.455,2.481
6,Texas,Nueces,0.465,0.555,0.699,0.419,0.477,2.981
6,Texas,Ochiltree,0.289,0.523,0.283,0.367,0.451,0.223
6,Texas,Oldham,0.328,0.71,0.278,0.313,0.382,-0.089
6,Texas,Orange,0.624,0.505,0.446,0.394,0.458,0.898
6,Texas,Palo Pinto,0.171,0.51,0.455,0.378,0.411,2.69
6,Texas,Panola,0.186,0.527,0.395,0.443,0.378,2.201
6,Texas,Parker,0.253,0.586,0.63,0.366,0.528,4.741
6,Texas,Parmer,0.174,0.631,0.342,0.48,0.412,3.064
6,Texas,Pecos,0.157,0.539,0.502,0.372,0.512,5.064
6,Texas,Polk,0.336,0.509,0.481,0.459,0.322,1.641
6,Texas,Potter,0.477,0.566,0.482,0.424,0.607,2.274
6,Texas,Presidio,0.098,0.389,0.343,0.466,0.337,1.127
6,Texas,Rains,0.139,0.586,0.355,0.322,0.53,2.638
6,Texas,Randall,0.474,0.594,0.408,0.425,0.594,1.882
6,Texas,Reagan,0.188,0.558,0.196,0.385,0.525,0.305
6,Texas,Real,0.086,0.455,0.199,0.439,0.407,-1.566
6,Texas,Red River,0.262,0.523,0.298,0.385,0.359,-0.121
6,Texas,Reeves,0.11,0.477,0.292,0.308,0.425,-1.398
6,Texas,Refugio,0.116,0.572,0.266,0.468,0.443,2.59
6,Texas,Roberts,0.349,0.698,0.187,0.314,0.47,-0.31
6,Texas,Robertson,0.173,0.54,0.355,0.41,0.405,1.666
6,Texas,Rockwall,0.476,0.643,0.333,0.42,0.609,1.596
6,Texas,Runnels,0.231,0.554,0.22,0.5,0.546,1.91
6,Texas,Rusk,0.209,0.552,0.507,0.368,0.407,2.912
6,Texas,Sabine,0.127,0.454,0.327,0.49,0.305,1.009
6,Texas,San Augustine,0.132,0.46,0.205,0.494,0.344,-0.79
6,Texas,San Jacinto,0.263,0.513,0.275,0.493,0.347,0.531
6,Texas,San Patricio,0.189,0.549,0.489,0.444,0.402,3.882
6,Texas,San Saba,0.161,0.525,0.188,0.382,0.625,1.197
6,Texas,Schleicher,0.113,0.552,0.229,0.423,0.497,1.583
6,Texas,Scurry,0.149,0.578,0.324,0.375,0.413,1.17
6,Texas,Shackelford,0.247,0.59,0.292,0.415,0.336,0.202
6,Texas,Shelby,0.144,0.512,0.34,0.422,0.287,0.119
6,Texas,Sherman,0.244,0.663,0.239,0.317,0.444,-0.198
6,Texas,Smith,0.366,0.542,0.63,0.387,0.532,3.33
6,Texas,Somervell,0.175,0.552,0.341,0.455,0.529,3.526
6,Texas,Starr,0.174,0.523,0.473,0.745,0.193,5.698
6,Texas,Stephens,0.262,0.54,0.188,0.351,0.465,-0.702
6,Texas,Sterling,0.17,0.588,0.244,0.392,0.611,2.365
6,Texas,Stonewall,0.291,0.587,0.048,0.389,0.554,-0.825
6,Texas,Sutton,0.23,0.584,0.225,0.393,0.591,1.354
6,Texas,Swisher,0.208,0.607,0.251,0.55,0.382,1.818
6,Texas,Tarrant,0.683,0.589,0.717,0.255,0.497,1.618
6,Texas,Taylor,0.312,0.591,0.559,0.394,0.511,3.371
6,Texas,Terrell,0.169,0.595,0.245,0.376,0.207,-2.481
6,Texas,Terry,0.114,0.565,0.305,0.351,0.377,-0.159
6,Texas,Throckmorton,0.109,0.597,0.194,0.461,0.442,1.057
6,Texas,Titus,0.152,0.556,0.454,0.371,0.413,3.236
6,Texas,Tom Green,0.156,0.556,0.53,0.473,0.556,7.846
6,Texas,Travis,0.489,0.161,0.844,0.308,0.514,2.41
6,Texas,Trinity,0.201,0.499,0.31,0.436,0.381,0.728
6,Texas,Tyler,0.276,0.492,0.371,0.392,0.37,0.622
6,Texas,Upshur,0.151,0.562,0.406,0.369,0.51,3.695
6,Texas,Upton,0.107,0.631,0.292,0.492,0.448,4.648
6,Texas,Uvalde,0.067,0.488,0.378,0.46,0.484,8.659
6,Texas,Val Verde,0.082,0.561,0.485,0.375,0.424,7.42
6,Texas,Van Zandt,0.099,0.576,0.444,0.369,0.492,6.388
6,Texas,Victoria,0.141,0.529,0.512,0.51,0.541,8.576
6,Texas,Walker,0.223,0.51,0.422,0.391,0.463,2.285
6,Texas,Waller,0.311,0.554,0.417,0.371,0.508,1.846
6,Texas,Ward,0.099,0.499,0.351,0.334,0.396,0.349
6,Texas,Washington,0.225,0.509,0.356,0.484,0.541,3.16
6,Texas,Webb,0.133,0.595,0.725,0.404,0.399,9.828
6,Texas,Wharton,0.079,0.526,0.453,0.444,0.505,10.309
6,Texas,Wheeler,0.322,0.601,0.253,0.309,0.436,-0.347
6,Texas,Wichita,0.26,0.544,0.504,0.354,0.485,2.731
6,Texas,Wilbarger,0.098,0.556,0.255,0.43,0.472,2.24
6,Texas,Willacy,0.163,0.549,0.285,0.718,0.257,3.536
6,Texas,Williamson,0.368,0.183,0.725,0.451,0.558,3.587
6,Texas,Wilson,0.081,0.564,0.474,0.38,0.551,10.361
6,Texas,Winkler,0.062,0.488,0.189,0.303,0.352,-9.211
6,Texas,Wise,0.136,0.623,0.609,0.432,0.459,8.918
6,Texas,Wood,0.152,0.545,0.396,0.31,0.528,2.638
6,Texas,Yoakum,0.154,0.575,0.248,0.372,0.407,-0.315
6,Texas,Young,0.133,0.53,0.381,0.333,0.527,3.002
6,Texas,Zapata,0.154,0.524,0.384,0.422,0.265,0.692
6,Texas,Zavala,0.11,0.503,0.255,0.401,0.191,-4.16
